Title,Date
"The Blacklist: Temporada 4: Señor Kaplan (N.° 4)","28/5/19"
"The Good Wife: Temporada 4: Y la ley ganó","28/5/19"
"The Blacklist: Temporada 4: El Cobrador (N.° 46)","27/5/19"
"The Good Wife: Temporada 4: Y yo me enfrentaré a la ley","22/5/19"
"The Good Wife: Temporada 3: El Dream Team","22/5/19"
"The Blacklist: Temporada 4: Dr. Bogdan Krilov (N.° 29)","17/5/19"
"The Good Wife: Temporada 3: La nevera","17/5/19"
"The Good Wife: Temporada 3: Mentiras","17/5/19"
"The Blacklist: Temporada 4: Philomena (N.° 61)","16/5/19"
"The Blacklist: Temporada 4: Réquiem","15/5/19"
"The Good Wife: Temporada 3: Comisión independiente","15/5/19"
"The Good Wife: Temporada 3: Puños fuera","15/5/19"
"Narcos: México: Temporada 1: El Padrino","13/5/19"
"The Blacklist: Temporada 4: Dembe Zuma (N.° 10)","12/5/19"
"Osmosis: Temporada 1: La prueba","12/5/19"
"The OA: Parte II: Capítulo 8: Perspectiva","12/5/19"
"The OA: Parte II: Capítulo 7: Nina Azarova","12/5/19"
"The OA: Parte II: Capítulo 6: Espejo espejo","11/5/19"
"The OA: Parte II: Capítulo 5: La médium y el ingeniero","11/5/19"
"The OA: Parte II: Capítulo 4: SYZYGY","10/5/19"
"Narcos: México: Temporada 1: El sistema plaza","9/5/19"
"Narcos: México: Temporada 1: Camelot","9/5/19"
"The Good Wife: Temporada 3: El largo camino a casa","9/5/19"
"The OA: Parte II: Capítulo 3: Espejo mágico","8/5/19"
"The Good Wife: Temporada 3: Después de la caída","8/5/19"
"The Good Wife: Temporada 3: En directo desde Damasco","8/5/19"
"The OA: Parte II: Capítulo 2: Isla del Tesoro","7/5/19"
"The Good Wife: Temporada 3: Otro sándwich de jamón","7/5/19"
"The Good Wife: Temporada 3: Bitcoin para torpes","7/5/19"
"The Good Wife: Temporada 3: Alienación del afecto","6/5/19"
"The Good Wife: Temporada 3: Qué ha salido mal","6/5/19"
"The OA: Parte II: Capítulo 1: Ángel de la muerte","5/5/19"
"The Good Wife: Temporada 3: La paternidad simplificada","3/5/19"
"The Good Wife: Temporada 3: Whiskey Tango Foxtrot","3/5/19"
"The Good Wife: Temporada 3: Chivatazo desde el corredor de la muerte","29/4/19"
"The Good Wife: Temporada 3: Orden Ejecutiva 13224","26/4/19"
"The Good Wife: Temporada 3: Asuntos de Estado","26/4/19"
"The Good Wife: Temporada 3: Marthas y Caitlins","25/4/19"
"The Good Wife: Temporada 3: Alimentando a la rata","25/4/19"
"The Good Wife: Temporada 3: Id a un hotel","23/4/19"
"The Good Wife: Temporada 3: La zona de la muerte","22/4/19"
"The Good Wife: Temporada 3: Un nuevo día","22/4/19"
"The Blacklist: Temporada 4: El Farmacéutico (N.° 59)","21/4/19"
"The Blacklist: Temporada 4: El Arquitecto (N.° 107)","21/4/19"
"The Blacklist: Temporada 4: Isabella Stone (N.° 34)","21/4/19"
"The Blacklist: Temporada 4: Natalie Luca (N.° 184)","18/4/19"
"The Good Wife: Temporada 2: Alegatos finales","17/4/19"
"The Good Wife: Temporada 2: Liberando tensión","17/4/19"
"The Good Wife: Temporada 2: En la enfermedad","17/4/19"
"The Good Wife: Temporada 2: Asuntos Exteriores","16/4/19"
"The Good Wife: Temporada 2: Despido improcedente","12/4/19"
"Tienda de unicornios","11/4/19"
"The Blacklist: Temporada 4: El Harén (N.° 102)","10/4/19"
"The Good Wife: Temporada 2: La canción del asesino","9/4/19"
"The Good Wife: Temporada 2: Sándwich de jamón","8/4/19"
"The Good Wife: Temporada 2: Buen cortafuegos","8/4/19"
"The Good Wife: Temporada 2: Bala de plata","8/4/19"
"The Blacklist: Temporada 4: El Analista (N.° 163)","7/4/19"
"Velvet Buzzsaw","7/4/19"
"Vikingos: Temporada 1: Ritos de paso","6/4/19"
"Vikingos: Temporada 5: Ragnarök","6/4/19"
"Vikingos: Temporada 5: Lo que pasa en la cueva","6/4/19"
"Vikingos: Temporada 5: Balder","6/4/19"
"Vikingos: Temporada 5: Cosas terribles","6/4/19"
"Assassin's Creed","5/4/19"
"Vikingos: Temporada 5: El Buda","4/4/19"
"Vikingos: Temporada 5: Infierno","4/4/19"
"The Good Wife: Temporada 2: Patrimonio","4/4/19"
"Vikingos: Temporada 5: El momento perdido","3/4/19"
"Vikingos: Temporada 5: Un Nuevo Dios","3/4/19"
"Vikingos: Temporada 5: El asesinato más vil","2/4/19"
"The Good Wife: Temporada 2: El auténtico trato","2/4/19"
"Vikingos: Temporada 5: La revelación","1/4/19"
"Vikingos: Temporada 5: Momentos visionarios","1/4/19"
"Vikingos: Temporada 5: Una historia sencilla","1/4/19"
"Vikingos: Temporada 5: El rey pescador","1/4/19"
"Triple frontera","30/3/19"
"The Blacklist: Temporada 4: Pescados y Mariscos Lipet (N.° 111)","30/3/19"
"The Blacklist: Temporada 4: Dra. Adrian Shaw (N.° 98): Conclusión","28/3/19"
"The Blacklist: Temporada 4: Dra. Adrian Shaw (N.° 98)","27/3/19"
"The Good Wife: Temporada 2: La temporada de la tontería","27/3/19"
"The Good Wife: Temporada 2: Escrutinio","27/3/19"
"The Good Wife: Temporada 2: Separación","27/3/19"
"Love, Death & Robots: Temporada 1: LA GUERRA SECRETA","27/3/19"
"Love, Death & Robots: Temporada 1: HISTORIAS ALTERNATIVAS","27/3/19"
"Love, Death & Robots: Temporada 1: LA EDAD DE HIELO","27/3/19"
"Love, Death & Robots: Temporada 1: PUNTO CIEGO","27/3/19"
"Love, Death & Robots: Temporada 1: ZIMA BLUE","27/3/19"
"Love, Death & Robots: Temporada 1: AFORTUNADOS 13","26/3/19"
"The Blacklist: Temporada 4: Los Tordos (N.° 53)","26/3/19"
"Love, Death & Robots: Temporada 1: NOCHE DE CRIATURAS MARINAS","26/3/19"
"Love, Death & Robots: Temporada 1: MANO AMIGA","26/3/19"
"Love, Death & Robots: Temporada 1: METAMORFOSIS","26/3/19"
"Love, Death & Robots: Temporada 1: EL VERTEDERO","26/3/19"
"Love, Death & Robots: Temporada 1: BUENA CAZA","26/3/19"
"Love, Death & Robots: Temporada 1: MÁS ALLÁ DE AQUILA","26/3/19"
"Love, Death & Robots: Temporada 1: YOGUR AL PODER","26/3/19"
"Love, Death & Robots: Temporada 1: DEVORADOR DE ALMAS","26/3/19"
"Love, Death & Robots: Temporada 1: TRAJES","26/3/19"
"Love, Death & Robots: Temporada 1: LA TESTIGO","26/3/19"
"Love, Death & Robots: Temporada 1: TRES ROBOTS","26/3/19"
"Love, Death & Robots: Temporada 1: LA VENTAJA DE SONNIE","26/3/19"
"The Good Wife: Temporada 2: Nueve horas","26/3/19"
"The Good Wife: Temporada 2: Escuchas","26/3/19"
"The Blacklist: Temporada 4: La Compañía Lindquist (N.° 105)","25/3/19"
"The Good Wife: Temporada 2: Chicas malas","25/3/19"
"El negocio del dolor","24/3/19"
"The Blacklist: Temporada 4: Gaia (N.° 81)","24/3/19"
"The Blacklist: Temporada 4: Miles McGrath (N.° 65)","24/3/19"
"The Blacklist: Temporada 4: Mato (N.° 66)","24/3/19"
"The Blacklist: Temporada 4: Esteban (N.° 79)","23/3/19"
